,id,name,country_code,country,hand,age,url,date_accessed
1084,30326,SMITH Katie,GBR,GREAT BRITAIN,Right,25,https://fie.org/athletes/30326,2021-05-13 21:48:48
1086,5753,BIRYUKOVA Yulia,RUS,RUSSIA,Left,36,https://fie.org/athletes/5753,2021-05-13 21:48:52
1087,22143,LUMINET Clarisse,FRA,FRANCE,Right,28,https://fie.org/athletes/22143,2021-05-13 21:48:53
1088,50821,HOOSHI Erica,USA,USA,Right,17,https://fie.org/athletes/50821,2021-05-13 21:25:38
1089,16006,NOH Garam,KOR,KOREA,Left,34,https://fie.org/athletes/16006,2021-05-13 21:56:16
1090,34448,FRANZONI Carlotta,ITA,ITALY,Right,23,https://fie.org/athletes/34448,2021-05-13 21:25:40
1091,22165,SHAITO Mona,LBN,LEBANON,Left,27,https://fie.org/athletes/22165,2021-05-13 21:48:55
1092,48790,KONONOVA Angelina,RUS,RUSSIA,Right,19,https://fie.org/athletes/48790,2021-05-13 21:56:25
1093,42647,WASILCZUK Dominika,POL,POLAND,Right,20,https://fie.org/athletes/42647,2021-05-13 21:25:45
1094,38554,MCCABE Mone,RSA,SOUTH AFRICA,Right,21,https://fie.org/athletes/38554,2021-05-13 21:48:57
1095,48791,MUKHINA Iuliia,RUS,RUSSIA,Left,22,https://fie.org/athletes/48791,2021-05-13 21:56:26
1096,32406,YEMMI Feriel,ALG,ALGERIA,Right,23,https://fie.org/athletes/32406,2021-05-13 21:56:26
1097,24221,GOLEBIOWSKA Natalia,POL,POLAND,Right,26,https://fie.org/athletes/24221,2021-05-13 21:56:27
1098,24220,SOBCZAK Zuzanna,POL,POLAND,Right,27,https://fie.org/athletes/24220,2021-05-13 21:56:27
1099,48802,CALVANESE Matilde,ITA,ITALY,Right,17,https://fie.org/athletes/48802,2021-05-13 21:56:28
1100,20134,MOSKOVSKA Anastasiya,UKR,UKRAINE,Right,29,https://fie.org/athletes/20134,2021-05-13 21:39:55
1101,26281,JANG Yeaseul,KOR,KOREA,Left,32,https://fie.org/athletes/26281,2021-05-13 21:25:52
1102,22187,NEHL Inke,GER,GERMANY,Right,27,https://fie.org/athletes/22187,2021-05-13 21:48:58
1103,50860,DANIEWSKA Michalina,POL,POLAND,Right,17,https://fie.org/athletes/50860,2021-05-13 21:25:52
1104,52909,MALYSHEVA Daria,RUS,RUSSIA,Right,18,https://fie.org/athletes/52909,2021-05-13 21:39:59
1105,9904,TAY Yu Ling,SGP,SINGAPORE,Right,34,https://fie.org/athletes/9904,2021-05-13 21:25:53
1106,38578,HIBBERT Jacqueline,GBR,GREAT BRITAIN,Right,55,https://fie.org/athletes/38578,2021-05-13 21:48:59
1107,22194,FENGER Hannah,GER,GERMANY,Right,28,https://fie.org/athletes/22194,2021-05-13 21:49:00
1108,32435,GHAZI Lila,ALG,ALGERIA,Right,21,https://fie.org/athletes/32435,2021-05-13 21:56:32
1110,52920,BENCHEKOR Selma Lilia,ALG,ALGERIA,Left,14,https://fie.org/athletes/52920,2021-05-13 21:40:00
1111,48819,ERTUN Lal,TUR,TURKEY,Right,17,https://fie.org/athletes/48819,2021-05-13 21:56:32
1112,46778,DRUCK Lior,ISR,ISRAEL,Left,17,https://fie.org/athletes/46778,2021-05-13 21:49:01
1113,48820,MENTESOGLU Defne,TUR,TURKEY,Right,20,https://fie.org/athletes/48820,2021-05-13 21:56:33
1114,48826,VASILEVA Daiana,BUL,BULGARIA,Right,18,https://fie.org/athletes/48826,2021-05-13 21:56:41
1115,44731,MORWELL-NEAVE Kate,GBR,GREAT BRITAIN,Right,54,https://fie.org/athletes/44731,2021-05-13 21:40:01
1116,48827,MLADENOVA Sara,BUL,BULGARIA,Right,16,https://fie.org/athletes/48827,2021-05-13 21:56:41
1117,48832,MARINOVA Anet,BUL,BULGARIA,Right,16,https://fie.org/athletes/48832,2021-05-13 21:56:42
1118,48833,TSONEVA Sofia,BUL,BULGARIA,Right,17,https://fie.org/athletes/48833,2021-05-13 21:56:42
1119,28354,TAYLOR Beatrice,GBR,GREAT BRITAIN,Right,44,https://fie.org/athletes/28354,2021-05-13 21:40:06
1120,48834,TSEKOVA Rositsa,BUL,BULGARIA,Left,17,https://fie.org/athletes/48834,2021-05-13 21:56:43
1121,38596,ZHOU Emme,USA,USA,Right,20,https://fie.org/athletes/38596,2021-05-13 21:49:02
1122,44742,LEE Sejoo,KOR,KOREA,Right,25,https://fie.org/athletes/44742,2021-05-13 21:40:06
1123,32466,TOLDO Ana,BRA,BRAZIL,Right,23,https://fie.org/athletes/32466,2021-05-13 21:56:45
1124,26323,SIRIBRAHMANAKUL Karanikar,THA,THAILAND,Left,30,https://fie.org/athletes/26323,2021-05-13 21:26:02
1125,30419,PELEKSIC Nadja,SRB,SERBIA,Right,24,https://fie.org/athletes/30419,2021-05-13 21:49:07
1126,30420,RADIC Nevena,SRB,SERBIA,Right,24,https://fie.org/athletes/30420,2021-05-13 21:49:07
1127,40665,JHANG Chih Shuan,TPE,CHINESE TAIPEI,Right,19,https://fie.org/athletes/40665,2021-05-13 21:56:46
1128,48860,LACHMAN Antonina,POL,POLAND,Right,18,https://fie.org/athletes/48860,2021-05-13 21:56:47
1129,30429,WYLLIE Stephanie,NZL,NEW ZEALAND,Right,27,https://fie.org/athletes/30429,2021-05-13 21:49:08
1130,34527,GONZALEZ CIAVARELLA Athina,ARG,ARGENTINA,Right,21,https://fie.org/athletes/34527,2021-05-13 21:26:02
1131,48864,MEMOLI Giorgia,ITA,ITALY,Right,20,https://fie.org/athletes/48864,2021-05-13 21:56:47
1132,34532,MEZA OCEGUERA Victoria Maria Isabel,MEX,MEXICO,Right,24,https://fie.org/athletes/34532,2021-05-13 21:26:03
1133,48868,ISEVCAN Balca,TUR,TURKEY,Right,17,https://fie.org/athletes/48868,2021-05-13 21:56:48
1134,32484,ROUIBET Amira,ALG,ALGERIA,Right,23,https://fie.org/athletes/32484,2021-05-13 21:56:49
1135,42733,DE BREM Aude,FRA,FRANCE,Right,21,https://fie.org/athletes/42733,2021-05-13 21:29:27
